movement_id,origin_code,origin_name,origin_district,origin_sub_district,origin_X,origin_Y,origin_in_cluster,cluster_name,destination_LBM_CY_id,destination_district,destination_sub_district,destination_X,destination_Y,species,number,weekly_volume
D-BGR-140-1-01-OUT,D-BGR-140,BAPAK EMUS/MUSLIHAT,BOGOR,CIAWI,106.861383,-6.677717,No,,,BOGOR,CIAWI,106.893746,-6.709535,BR,30,150
D-BGR-173-1-01-OUT,D-BGR-173,ELI,BOGOR,CIBUNGBULANG,106.632383,-6.573367,No,,D-BGR-182,BOGOR,LEUWILIANG,106.632733,-6.572817,AK,9,45
D-BGR-173-1-02-OUT,D-BGR-173,ELI,BOGOR,CIBUNGBULANG,106.632383,-6.573367,No,,D-BGR-182,BOGOR,LEUWILIANG,106.632733,-6.572817,DU,5,20
D-BGR-188-1-01-OUT,D-BGR-188,KIOS AYAM HIDUP PASAR CIGUDEG,BOGOR,CIGUDEG,106.535317,-6.5493,No,,,BOGOR,CIGUDEG,106.546913,-6.493218,LA,10,70
D-BGR-190-1-01-OUT,D-BGR-190,H. BADRU,BOGOR,TENJO,106.447717,-6.33585,No,,D-BGR-192,BOGOR,TENJO,106.437617,-6.375717,LA,100,600
D-BGR-195-1-01-OUT,D-BGR-195,ROSID,BOGOR,JASINGA,106.443283,-6.393283,No,,D-BGR-193,BOGOR,JASINGA,106.464117,-6.48145,LA,200,600
D-BGR-195-1-02-OUT,D-BGR-195,ROSID,BOGOR,JASINGA,106.443283,-6.393283,No,,,LEBAK,RANGKASBITUNG,106.283546,-6.356803,LA,50,50
D-BGR-195-1-03-OUT,D-BGR-195,ROSID,BOGOR,JASINGA,106.443283,-6.393283,No,,,LEBAK,MUNCANG,106.287034,-6.552755,LA,300,900
D-BGR-195-1-04-OUT,D-BGR-195,ROSID,BOGOR,JASINGA,106.443283,-6.393283,No,,D-TGR-104,TANGERANG,CISOKA,106.416691,-6.259755,LA,50,350
D-BGR-195-1-05-OUT,D-BGR-195,ROSID,BOGOR,JASINGA,106.443283,-6.393283,No,,D-TGR-108,TANGERANG,TIGARAKSA,106.467272,-6.2658,LA,60,180
D-BGR-197-1-01-OUT,D-BGR-197,RATU CHICKEN,BOGOR,CISARUA,106.925483,-6.6737,No,,,BOGOR,CISARUA,106.956134,-6.698969,BR,25,175
D-BGR-197-3-01-OUT,D-BGR-200,YANTO,BOGOR,CISARUA,106.9311,-6.680067,No,,,BOGOR,CISARUA,106.956134,-6.698969,AK,1,7
