code,name,district,sub_district,X,Y,type
D-TGR-092,PASAR BINONG,TANGERANG,CURUG,106.5819333,-6.2501,LBM
D-TGR-093,Pasar Ruko Pamulang,KOTA TANGERANG SELATAN,PAMULANG,106.73465,-6.343133333,LBM
D-TGR-094,PASAR LEGOK,TANGERANG,LEGOK,106.58825,-6.298416667,LBM
D-TGR-095,pasar City Market,TANGERANG,PANONGAN,106.63425,-6.241366667,LBM
D-TGR-096,PASAR BONANG,TANGERANG,KELAPA DUA,106.6098514,-6.242163736,LBM
D-TGR-097,Bayam,TANGERANG,KELAPA DUA,106.6098514,-6.242163736,LBM
D-TGR-098,Mawar Mandiri,TANGERANG,CURUG,106.5661556,-6.24240128,LBM
D-TGR-099,Kemis,TANGERANG,SINDANG JAYA,106.4993005,-6.169561503,LBM
D-TGR-100,Puri,TANGERANG,TELUKNAGA,106.6596501,-6.051626995,LBM
D-TGR-101,Korelet,TANGERANG,PANONGAN,106.5261997,-6.27874043,LBM
D-TGR-102,Kronjo,TANGERANG,KRONJO,106.4285407,-6.070622301,LBM
D-TGR-103,Medang,TANGERANG,PAGEDANGAN,106.6174685,-6.297461985,LBM
D-TGR-104,Cisoka,TANGERANG,CISOKA,106.4166909,-6.25975498,LBM
D-TGR-105,Daon,TANGERANG,RAJEG,106.5102675,-6.116067473,LBM
D-TGR-106,Solear,TANGERANG,SOLEAR,106.4216948,-6.307318599,LBM
D-TGR-107,Kresek,TANGERANG,KRESEK,106.4037441,-6.144135767,LBM
D-TGR-108,Tapos,TANGERANG,TIGARAKSA,106.4672718,-6.265799785,LBM
D-TGR-109,Pasir Jaya,TANGERANG,CIKUPA,106.5162132,-6.21790219,LBM
D-TGR-110,Sinpansa,TANGERANG,KELAPA DUA,106.6098514,-6.242163736,LBM
D-TGR-111,Paramount,TANGERANG,KELAPA DUA,106.6098514,-6.242163736,LBM
D-TGR-112,Mutiara,TANGERANG,KELAPA DUA,106.6098514,-6.242163736,LBM
D-TGR-113,Pasar Jayanti,TANGERANG,JAYANTI,106.397186,-6.205878832,LBM
D-TGR-114,Pasar Mauk,TANGERANG,MAUK,106.5192433,-6.05630345,LBM
D-TGR-115,Pasar Karang Jetak,TANGERANG,,106.5186266,-6.174269731,LBM
D-TGR-116,Pasar Cayur,TANGERANG,,106.5186266,-6.174269731,LBM
D-TGR-117,Pasar Mekar Baru,TANGERANG,,106.5186266,-6.174269731,LBM
D-TGR-200,Pasar Delapan Alam Sutera,TANGERANG,,106.5186266,-6.174269731,LBM
D-TGR-201,Pasar Bintaro II,TANGERANG,,106.5186266,-6.174269731,LBM
D-TGR-202,Pasar Mini Pertamina,TANGERANG,,106.5186266,-6.174269731,LBM
D-TGR-203,Pasar Kita,TANGERANG,,106.5186266,-6.174269731,LBM
M-BGR-001,PASAR GUNUNG BATU,KOTA BOGOR,KOTA BOGOR BARAT,106.7655424,-6.573271749,LBM
M-BGR-002,PASAR KEBON KEMBANG,KOTA BOGOR,KOTA BOGOR TENGAH,106.7980996,-6.593767797,LBM
M-BGR-003,PASAR BARU BOGOR,KOTA BOGOR,KOTA BOGOR TENGAH,106.7980996,-6.593767797,LBM
M-BGR-004,PASAR GUNUNG BATU,KOTA BOGOR,KOTA BOGOR BARAT,106.77815,-6.5944,LBM
M-BGR-005,PASAR KEBON KEMBANG,KOTA BOGOR,KOTA BOGOR TENGAH,106.7914833,-6.5926,LBM
M-BGR-006,Pasar Bale Kambang,KOTA BOGOR,KOTA BOGOR SELATAN,106.8087667,-6.622183333,LBM
M-BGR-007,H. Ahmad,KOTA BOGOR,KOTA BOGOR SELATAN,106.8010333,-6.603633333,LBM
M-BKS-001,SUMBER ARTHA,KOTA BEKASI,BEKASI BARAT,106.9627885,-6.233617281,LBM
M-BKS-002,KOLONG,KOTA BEKASI,MEDAN SATRIA,106.9822142,-6.197577934,LBM
M-BKS-003,JATIASIH,KOTA BEKASI,JATIASIH,106.9523907,-6.30733872,LBM
M-BKS-004,BANTAR GEBANG,KOTA BEKASI,BANTARGEBANG,106.9913653,-6.33892597,LBM
M-BKS-005,RAWALUMBU,KOTA BEKASI,RAWALUMBU,106.9239,-6.365233333,LBM
M-BKS-006,BARU BEKASI,KOTA BEKASI,BEKASI TIMUR,106.9239,-6.365233333,LBM
M-BKS-007,JAMBLANG,KOTA BEKASI,BEKASI SELATAN,106.9239,-6.365233333,LBM
M-BKS-018,PASAR JATIASIH,KOTA BEKASI,JATIASIH,106.96615,-6.291383333,LBM
M-BKS-022,Kranji Market,KOTA BEKASI,BEKASI BARAT,106.9673,-6.23435,LBM
M-BKS-023,PASAR SUMBER ARTHA,KOTA BEKASI,BEKASI BARAT,106.94385,-6.248716667,LBM
M-BKS-024,Village Market Management,KOTA BEKASI,BEKASI BARAT,106.9516167,-6.219533333,LBM
M-BKS-027,PASAR OMAN,KOTA BEKASI,MEDAN SATRIA,106.9913167,-6.166916667,LBM
M-BKS-029,PASAR LURAH 05 KOLONG,KOTA BEKASI,MEDAN SATRIA,106.9759167,-6.2219,LBM
M-BKS-030,Pasar Kaget Pratama,KOTA BEKASI,MEDAN SATRIA,106.9902333,-6.18955,LBM
M-BKS-031,Pasar Raya Bungur,KOTA BEKASI,MEDAN SATRIA,106.9910167,-6.197433333,LBM
M-BKS-032,Pasar Kaget Timbul,KOTA BEKASI,MEDAN SATRIA,106.98805,-6.228333333,LBM
