movement_id,origin_code,origin_name,origin_district,origin_sub_district,origin_x,origin_y,species,number,weekly_volume,type_destination,name_destination,destination_lbm_cy_id,destination_district,destination_sub_district,destination_x_original,destination_y_original,xy,point_x_subdistrict,point_y_subdistrict,object_id_destination,in_km_distance_origin_destination,origin_in_cluster,cluster_name
D-BGR-098-1-01-OUT,D-BGR-098,ASMAN,BOGOR,TAJUR HALANG,106.7556,-6.472467,LA,6,6,LBM,PASAR PARUNG (PD MARKET TOHAGA),D-BGR-003,BOGOR,PARUNG,106.7295,-6.423567,original coordinate,106.7130303,-6.435132238,1933,28.80499041,No,
D-BGR-098-1-02-OUT,D-BGR-098,ASMAN,BOGOR,TAJUR HALANG,106.7556,-6.472467,BR,5,5,LBM,PASAR INKOPAD,,BOGOR,TAJUR HALANG,106.75919,-6.46783,subdistrict coordinate,106.7591896,-6.467830162,1930,34.50988645,No,
D-BGR-098-1-03-OUT,D-BGR-098,ASMAN,BOGOR,TAJUR HALANG,106.7556,-6.472467,AK,10,10,LBM,PASAR INKOPAD,,BOGOR,TAJUR HALANG,106.75919,-6.46783,subdistrict coordinate,106.7591896,-6.467830162,1930,34.50988645,No,
D-BGR-098-2-01-OUT,D-BGR-099,NAAM,BOGOR,TAJUR HALANG,106.75605,-6.4726,BR,5,5,LBM,PASAR PAGI INKOPAD,,BOGOR,TAJUR HALANG,106.75919,-6.46783,subdistrict coordinate,106.7591896,-6.467830162,1930,34.45675216,No,
D-BGR-098-2-02-OUT,D-BGR-099,NAAM,BOGOR,TAJUR HALANG,106.75605,-6.4726,AK,10,10,LBM,PASAR PAGI INKOPAD,,BOGOR,TAJUR HALANG,106.75919,-6.46783,subdistrict coordinate,106.7591896,-6.467830162,1930,34.45675216,No,
D-BGR-105-1-01-OUT,D-BGR-105,MST GROUP,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,BR,100,700,LBM,PASAR CITAYAM,D-BGR-107,BOGOR,BOJONG GEDE,106.798617,-6.451033,original coordinate,106.7919676,-6.47750627,1929,54.8977938,No,
D-BGR-109-1-01-OUT,D-BGR-109,AGUS SUTRISNO,BOGOR,BOJONG GEDE,106.7811,-6.50225,BR,75,525,LBM,PASAR CITAYAM,D-BGR-107,BOGOR,BOJONG GEDE,106.798617,-6.451033,original coordinate,106.7919676,-6.47750627,1929,34.32637548,No,
D-BGR-109-1-02-OUT,D-BGR-109,AGUS SUTRISNO,BOGOR,BOJONG GEDE,106.7811,-6.50225,BR,135,945,LBM,PASAR BOJONG GEDE,D-BGR-108,BOGOR,BOJONG GEDE,106.79525,-6.489683,original coordinate,106.7919676,-6.47750627,1929,38.52658803,No,
D-BGR-109-1-03-OUT,D-BGR-109,AGUS SUTRISNO,BOGOR,BOJONG GEDE,106.7811,-6.50225,BR,45,315,LBM,PASAR CIMANGGIS,M-DPK-010,KOTA DEPOK,CIMANGGIS,106.868117,-6.377417,original coordinate,106.8699281,-6.368516491,2507,27.95623968,No,
D-BGR-117-2-01-OUT,D-BGR-118,BAPAK NAHROWI,BOGOR,BOJONG GEDE,106.795983,-6.46015,BR,60,60,LBM,PASAR REBO CITAYAM,,KOTA DEPOK,CIPAYUNG,106.802303,-6.429127,subdistrict coordinate,106.8023034,-6.429127357,2504,6.499053398,No,
D-BGR-131-1-01-OUT,D-BGR-131,PD HMS,BOGOR,CILEUNGSI,106.964483,-6.411433,BR,500,3000,LBM,PASAR CILENGSI,,BOGOR,CILEUNGSI,106.996152,-6.409775,subdistrict coordinate,106.9961522,-6.409775022,1924,25.65048616,No,
D-BGR-138-1-01-OUT,D-BGR-138,Alatas,BOGOR,KELAPA NUNGGAL,106.972033,-6.455117,BR,250,250,AB,,,BOGOR,CILEUNGSI,106.996152,-6.409775,subdistrict coordinate,106.9961522,-6.409775022,1924,30.60360062,No,
D-BGR-140-1-01-OUT,D-BGR-140,BAPAK EMUS/MUSLIHAT,BOGOR,CIAWI,106.861383,-6.677717,BR,30,150,LBM,,,BOGOR,CIAWI,106.893746,-6.709535,subdistrict coordinate,106.8937457,-6.70953511,1915,29.44231963,No,
D-BGR-173-1-01-OUT,D-BGR-173,ELI,BOGOR,CIBUNGBULANG,106.632383,-6.573367,AK,9,45,LBM,PASAR LEUWILIANG,D-BGR-182,BOGOR,LEUWILIANG,106.632733,-6.572817,original coordinate,106.6093508,-6.639782343,1903,54.04361429,No,
D-BGR-173-1-02-OUT,D-BGR-173,ELI,BOGOR,CIBUNGBULANG,106.632383,-6.573367,DU,5,20,LBM,PASAR LEUWILIANG,D-BGR-182,BOGOR,LEUWILIANG,106.632733,-6.572817,original coordinate,106.6093508,-6.639782343,1903,54.04361429,No,
D-BGR-188-1-01-OUT,D-BGR-188,KIOS AYAM HIDUP PASAR CIGUDEG,BOGOR,CIGUDEG,106.535317,-6.5493,LA,10,70,AS,,,BOGOR,CIGUDEG,106.546913,-6.493218,subdistrict coordinate,106.5469133,-6.493218469,1937,27.66409153,No,
D-BGR-190-1-01-OUT,D-BGR-190,H. BADRU,BOGOR,TENJO,106.447717,-6.33585,LA,100,600,LBM,PASAR REBO BOJONG TENJO,D-BGR-192,BOGOR,TENJO,106.437617,-6.375717,original coordinate,106.4794581,-6.372813304,1940,41.21291259,No,
D-BGR-195-1-01-OUT,D-BGR-195,ROSID,BOGOR,JASINGA,106.443283,-6.393283,LA,200,600,LBM,PASAR JASINGA (PD MARKET TOHAGA),D-BGR-193,BOGOR,JASINGA,106.464117,-6.48145,original coordinate,106.4566139,-6.481935951,1939,23.3675278,No,
D-BGR-195-1-02-OUT,D-BGR-195,ROSID,BOGOR,JASINGA,106.443283,-6.393283,LA,50,50,LBM,PASAR GAJRUG,,LEBAK,RANGKASBITUNG,106.283546,-6.356803,subdistrict coordinate,106.2835455,-6.356803235,3907,22.67953698,No,
D-BGR-195-1-03-OUT,D-BGR-195,ROSID,BOGOR,JASINGA,106.443283,-6.393283,LA,300,900,LBM,PASAR CIMINYAK,,LEBAK,MUNCANG,106.287034,-6.552755,subdistrict coordinate,106.2870337,-6.552755147,3898,37.0708386,No,
D-BGR-195-1-04-OUT,D-BGR-195,ROSID,BOGOR,JASINGA,106.443283,-6.393283,LA,50,350,LBM,PASAR CISOKA,D-TGR-104,TANGERANG,CISOKA,106.416691,-6.259755,original coordinate,106.4166909,-6.25975498,3911,5.638490653,No,
D-BGR-195-1-05-OUT,D-BGR-195,ROSID,BOGOR,JASINGA,106.443283,-6.393283,LA,60,180,LBM,PASAR TIGARAKSA (PASAR TAPOS),D-TGR-108,TANGERANG,TIGARAKSA,106.467272,-6.2658,original coordinate,106.4672718,-6.265799785,3913,0.219704411,No,
D-BGR-197-1-01-OUT,D-BGR-197,RATU CHICKEN,BOGOR,CISARUA,106.925483,-6.6737,BR,25,175,AS,,,BOGOR,CISARUA,106.956134,-6.698969,subdistrict coordinate,106.9561344,-6.698968858,1916,56.22695327,No,
D-BGR-197-3-01-OUT,D-BGR-200,YANTO,BOGOR,CISARUA,106.9311,-6.680067,AK,1,7,AS,,,BOGOR,CISARUA,106.956134,-6.698969,subdistrict coordinate,106.9561344,-6.698968858,1916,53.02020772,No,
