movement_id,origin_district,type,species,number,weekly_volume,destination_code,destination_name,destination_x,destination_y,destination_district,destination_subdistrict,point_x_subdistrict_destination,point_y_subdistrict_destination,object_id_subdistrict_destination,in_km_distance_origin_district_destination,destination_in_cluster,destination_cluster_name,cy_id
M-JKT-137-10-01-IN,KOTA SURAKARTA,LBM,AK,900,6300,M-JKT-146,MULYONO,106.919983,-6.19645,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,462.0051361,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-1-01-IN,BANDUNG,Br,BR,3000,9000,M-JKT-137,Tyen Kwet Sin,106.904817,-6.188933,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,122.9560521,Yes,Pulo Gadung,M-JKT-137-1
M-JKT-137-1-02-IN,CIREBON,Br,BR,3000,9000,M-JKT-137,Tyen Kwet Sin,106.904817,-6.188933,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,187.7302836,Yes,Pulo Gadung,M-JKT-137-1
M-JKT-137-1-03-IN,KOTA BANDAR LAMPUNG,Br,BR,3000,3000,M-JKT-137,Tyen Kwet Sin,106.904817,-6.188933,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,204.1833267,Yes,Pulo Gadung,M-JKT-137-1
M-JKT-137-11-01-IN,KOTA SURAKARTA,LBM,AK,375,2625,M-JKT-147,DARYONO,106.9199,-6.196433,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,462.0051361,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-12-01-IN,KOTA SURAKARTA,LBM,AK,150,1050,M-JKT-148,SRIYONO,106.919967,-6.1964,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,462.0051361,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-13-01-IN,NGAWI,Br,AK,500,3500,M-JKT-149,Bapak tommy,106.920033,-6.196467,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,514.1572018,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-13-02-IN,PONOROGO,Br,AK,500,3500,M-JKT-149,Bapak tommy,106.920033,-6.196467,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,546.8981376,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-13-03-IN,BLITAR,Br,AK,500,3500,M-JKT-149,Bapak tommy,106.920033,-6.196467,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,632.1945635,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-14-01-IN,NGAWI,Br,AK,500,3500,M-JKT-150,ibu yanti,106.920033,-6.1964,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,514.1572018,Yes,Rawa Kepiting,M-JKT-137-1
